time_identifier,time_period,geographic_level,country_code,country_name,school_type,percentage_band,percentage,enrolments_overall,enrolments_overall_percent,enrolments_authorised,enrolments_authorised_percent,enrolments_unauthorised,enrolments_unauthorised_percent
six half terms,201516,national,E92000001,England,Total,0.00-9.99,9.00 - 9.99,142300,2.1,96250,1.4,21385,0.3
six half terms,201516,national,E92000001,England,Total,10.00-19.99,10.00 - 10.99,131045,1.9,84330,1.3,20630,0.3
six half terms,201516,national,E92000001,England,Total,10.00-19.99,11.00 - 11.99,96885,1.4,58430,0.9,15780,0.2
six half terms,201516,national,E92000001,England,Total,10.00-19.99,12.00 - 12.99,74220,1.1,42900,0.6,12725,0.2
six half terms,201516,national,E92000001,England,Total,10.00-19.99,13.00 - 13.99,55895,0.8,31080,0.5,9950,0.1
six half terms,201516,national,E92000001,England,Total,10.00-19.99,14.00 - 14.99,43385,0.6,23390,0.3,8635,0.1
six half terms,201516,national,E92000001,England,Total,10.00-19.99,15.00 - 15.99,37575,0.6,19540,0.3,7210,0.1
six half terms,201516,national,E92000001,England,Total,10.00-19.99,16.00 - 16.99,30855,0.5,15530,0.2,6375,0.1
six half terms,201516,national,E92000001,England,Total,10.00-19.99,17.00 - 17.99,24805,0.4,11875,0.2,5285,0.1
six half terms,201516,national,E92000001,England,Total,10.00-19.99,18.00 - 18.99,20050,0.3,9865,0.1,4425,0.1
six half terms,201516,national,E92000001,England,Total,10.00-19.99,19.00 - 19.99,15640,0.2,7375,0.1,3665,0.1
six half terms,201516,national,E92000001,England,Total,20.00-29.99,20.00 - 20.99,15690,0.2,7435,0.1,3955,0.1
six half terms,201516,national,E92000001,England,Total,20.00-29.99,21.00 - 21.99,12690,0.2,5895,0.1,3320,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,22.00 - 22.99,10760,0.2,4810,0.1,2910,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,23.00 - 23.99,9410,0.1,4250,0.1,2535,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,24.00 - 24.99,7390,0.1,3195,0,2075,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,25.00 - 25.99,8660,0.1,3875,0.1,2620,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,26.00 - 26.99,6885,0.1,2855,0,1955,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,27.00 - 27.99,5885,0.1,2575,0,1775,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,28.00 - 28.99,5675,0.1,2420,0,1745,0
six half terms,201516,national,E92000001,England,Total,20.00-29.99,29.00 - 29.99,4575,0.1,1805,0,1385,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,30.00 - 30.99,4730,0.1,2060,0,1555,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,31.00 - 31.99,3970,0.1,1675,0,1230,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,32.00 - 32.99,3685,0.1,1450,0,1170,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,33.00 - 33.99,3830,0.1,1710,0,1355,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,34.00 - 34.99,2990,0,1270,0,1020,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,35.00 - 35.99,3055,0,1265,0,1020,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,36.00 - 36.99,2720,0,1080,0,960,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,37.00 - 37.99,2715,0,1090,0,1010,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,38.00 - 38.99,2345,0,955,0,915,0
six half terms,201516,national,E92000001,England,Total,30.00-39.99,39.00 - 39.99,2025,0,800,0,695,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,40.00 - 40.99,2430,0,995,0,885,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,41.00 - 41.99,2095,0,845,0,735,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,42.00 - 42.99,2060,0,815,0,695,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,43.00 - 43.99,1715,0,625,0,625,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,44.00 - 44.99,1685,0,645,0,600,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,45.00 - 45.99,1625,0,605,0,570,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,46.00 - 46.99,1460,0,580,0,530,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,47.00 - 47.99,1425,0,560,0,525,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,48.00 - 48.99,1325,0,550,0,520,0
six half terms,201516,national,E92000001,England,Total,40.00-49.99,49.00 - 49.99,945,0,340,0,330,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,50.00 - 50.99,2240,0,960,0,950,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,51.00 - 51.99,1230,0,470,0,420,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,52.00 - 52.99,1240,0,460,0,435,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,53.00 - 53.99,1020,0,390,0,425,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,54.00 - 54.99,910,0,335,0,365,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,55.00 - 55.99,1060,0,375,0,375,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,56.00 - 56.99,955,0,340,0,345,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,57.00 - 57.99,1020,0,370,0,375,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,58.00 - 58.99,850,0,325,0,355,0
six half terms,201516,national,E92000001,England,Total,50.00-59.99,59.00 - 59.99,740,0,245,0,280,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,60.00 - 60.99,955,0,355,0,390,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,61.00 - 61.99,745,0,285,0,305,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,62.00 - 62.99,815,0,255,0,305,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,63.00 - 63.99,695,0,235,0,240,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,64.00 - 64.99,665,0,230,0,250,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,65.00 - 65.99,655,0,230,0,240,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,66.00 - 66.99,880,0,330,0,380,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,67.00 - 67.99,605,0,190,0,230,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,68.00 - 68.99,590,0,200,0,240,0
six half terms,201516,national,E92000001,England,Total,60.00-69.99,69.00 - 69.99,500,0,155,0,205,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,70.00 - 70.99,615,0,220,0,240,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,71.00 - 71.99,590,0,205,0,195,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,72.00 - 72.99,540,0,155,0,205,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,73.00 - 73.99,495,0,145,0,190,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,74.00 - 74.99,365,0,115,0,145,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,75.00 - 75.99,690,0,235,0,300,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,76.00 - 76.99,465,0,140,0,195,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,77.00 - 77.99,455,0,130,0,165,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,78.00 - 78.99,440,0,115,0,175,0
six half terms,201516,national,E92000001,England,Total,70.00-79.99,79.00 - 79.99,325,0,90,0,140,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,80.00 - 80.99,535,0,165,0,220,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,81.00 - 81.99,385,0,120,0,155,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,82.00 - 82.99,420,0,115,0,150,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,83.00 - 83.99,435,0,140,0,165,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,84.00 - 84.99,325,0,90,0,120,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,85.00 - 85.99,385,0,105,0,175,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,86.00 - 86.99,320,0,100,0,120,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,87.00 - 87.99,365,0,100,0,155,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,88.00 - 88.99,330,0,95,0,155,0
six half terms,201516,national,E92000001,England,Total,80.00-89.99,89.00 - 89.99,260,0,80,0,125,0
six half terms,201516,national,E92000001,England,Total,90+,90.00 - 90.99,370,0,115,0,185,0
six half terms,201516,national,E92000001,England,Total,90+,91.00 - 91.99,305,0,95,0,115,0
six half terms,201516,national,E92000001,England,Total,90+,92.00 - 92.99,335,0,75,0,150,0
six half terms,201516,national,E92000001,England,Total,90+,93.00 - 93.99,350,0,100,0,135,0
six half terms,201516,national,E92000001,England,Total,90+,94.00 - 94.99,300,0,95,0,135,0
six half terms,201516,national,E92000001,England,Total,90+,95.00 - 95.99,295,0,85,0,135,0
six half terms,201516,national,E92000001,England,Total,90+,96.00 - 96.99,325,0,90,0,130,0
six half terms,201516,national,E92000001,England,Total,90+,97.00 - 97.99,300,0,85,0,130,0
six half terms,201516,national,E92000001,England,Total,90+,98.00 - 98.99,305,0,80,0,120,0
six half terms,201516,national,E92000001,England,Total,90+,99.00+,10600,0.2,3500,0.1,6325,0.1
six half terms,201516,national,E92000001,England,State-funded primary,Total,Total,3818440,100,3818440,100,3818440,100
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,0,323370,8.5,436095,11.4,2353035,61.6
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,0.01 - 0.99,425210,11.1,533885,14,528520,13.8
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,1.00 - 1.99,668445,17.5,794635,20.8,330900,8.7
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,2.00 - 2.99,554635,14.5,598515,15.7,217565,5.7
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,3.00 - 3.99,434855,11.4,424035,11.1,122320,3.2
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,4.00 - 4.99,289400,7.6,262785,6.9,67010,1.8
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,5.00 - 5.99,271870,7.1,226925,5.9,58785,1.5
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,6.00 - 6.99,203220,5.3,157510,4.1,35250,0.9
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,7.00 - 7.99,149275,3.9,107915,2.8,22465,0.6
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,8.00 - 8.99,112035,2.9,75065,2,15490,0.4
six half terms,201516,national,E92000001,England,State-funded primary,0.00-9.99,9.00 - 9.99,71500,1.9,44955,1.2,9820,0.3
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,10.00 - 10.99,67820,1.8,40090,1,9400,0.2
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,11.00 - 11.99,49365,1.3,26975,0.7,6980,0.2
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,12.00 - 12.99,36745,1,19115,0.5,5290,0.1
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,13.00 - 13.99,27185,0.7,13715,0.4,4175,0.1
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,14.00 - 14.99,19865,0.5,9550,0.3,3370,0.1
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,15.00 - 15.99,17200,0.5,7910,0.2,2785,0.1
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,16.00 - 16.99,13650,0.4,6020,0.2,2465,0.1
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,17.00 - 17.99,10695,0.3,4415,0.1,1885,0
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,18.00 - 18.99,8300,0.2,3545,0.1,1570,0
six half terms,201516,national,E92000001,England,State-funded primary,10.00-19.99,19.00 - 19.99,6105,0.2,2495,0.1,1245,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,20.00 - 20.99,6345,0.2,2580,0.1,1475,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,21.00 - 21.99,5000,0.1,1955,0.1,1120,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,22.00 - 22.99,3980,0.1,1555,0,935,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,23.00 - 23.99,3450,0.1,1320,0,795,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,24.00 - 24.99,2515,0.1,935,0,630,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,25.00 - 25.99,3200,0.1,1275,0,880,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,26.00 - 26.99,2380,0.1,880,0,550,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,27.00 - 27.99,1940,0.1,745,0,535,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,28.00 - 28.99,1955,0.1,755,0,540,0
six half terms,201516,national,E92000001,England,State-funded primary,20.00-29.99,29.00 - 29.99,1425,0,490,0,380,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,30.00 - 30.99,1455,0,570,0,435,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,31.00 - 31.99,1205,0,460,0,350,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,32.00 - 32.99,1105,0,380,0,290,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,33.00 - 33.99,1265,0,540,0,430,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,34.00 - 34.99,885,0,325,0,250,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,35.00 - 35.99,880,0,365,0,265,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,36.00 - 36.99,810,0,295,0,265,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,37.00 - 37.99,785,0,305,0,265,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,38.00 - 38.99,590,0,255,0,215,0
six half terms,201516,national,E92000001,England,State-funded primary,30.00-39.99,39.00 - 39.99,505,0,190,0,155,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,40.00 - 40.99,710,0,305,0,250,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,41.00 - 41.99,525,0,235,0,190,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,42.00 - 42.99,575,0,235,0,170,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,43.00 - 43.99,435,0,180,0,145,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,44.00 - 44.99,440,0,170,0,115,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,45.00 - 45.99,435,0,175,0,125,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,46.00 - 46.99,365,0,150,0,105,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,47.00 - 47.99,350,0,165,0,105,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,48.00 - 48.99,305,0,140,0,100,0
six half terms,201516,national,E92000001,England,State-funded primary,40.00-49.99,49.00 - 49.99,155,0,65,0,40,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,50.00 - 50.99,745,0,355,0,325,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,51.00 - 51.99,275,0,135,0,90,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,52.00 - 52.99,290,0,150,0,85,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,53.00 - 53.99,255,0,110,0,70,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,54.00 - 54.99,200,0,105,0,70,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,55.00 - 55.99,240,0,100,0,75,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,56.00 - 56.99,225,0,95,0,55,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,57.00 - 57.99,255,0,110,0,80,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,58.00 - 58.99,180,0,80,0,65,0
six half terms,201516,national,E92000001,England,State-funded primary,50.00-59.99,59.00 - 59.99,135,0,60,0,35,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,60.00 - 60.99,230,0,115,0,90,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,61.00 - 61.99,150,0,65,0,50,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,62.00 - 62.99,160,0,70,0,60,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,63.00 - 63.99,130,0,55,0,40,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,64.00 - 64.99,125,0,45,0,40,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,65.00 - 65.99,125,0,60,0,35,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,66.00 - 66.99,245,0,110,0,120,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,67.00 - 67.99,120,0,45,0,40,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,68.00 - 68.99,115,0,55,0,35,0
six half terms,201516,national,E92000001,England,State-funded primary,60.00-69.99,69.00 - 69.99,85,0,40,0,15,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,70.00 - 70.99,130,0,60,0,45,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,71.00 - 71.99,105,0,40,0,35,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,72.00 - 72.99,100,0,35,0,40,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,73.00 - 73.99,70,0,35,0,25,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,74.00 - 74.99,65,0,30,0,20,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,75.00 - 75.99,150,0,60,0,65,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,76.00 - 76.99,85,0,30,0,45,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,77.00 - 77.99,90,0,35,0,30,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,78.00 - 78.99,65,0,25,0,30,0
six half terms,201516,national,E92000001,England,State-funded primary,70.00-79.99,79.00 - 79.99,50,0,15,0,15,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,80.00 - 80.99,100,0,45,0,45,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,81.00 - 81.99,55,0,20,0,25,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,82.00 - 82.99,65,0,30,0,20,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,83.00 - 83.99,80,0,40,0,35,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,84.00 - 84.99,35,0,15,0,10,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,85.00 - 85.99,60,0,15,0,30,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,86.00 - 86.99,50,0,30,0,10,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,87.00 - 87.99,55,0,10,0,35,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,88.00 - 88.99,55,0,25,0,25,0
six half terms,201516,national,E92000001,England,State-funded primary,80.00-89.99,89.00 - 89.99,40,0,20,0,10,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,90.00 - 90.99,60,0,25,0,40,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,91.00 - 91.99,40,0,25,0,15,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,92.00 - 92.99,35,0,10,0,20,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,93.00 - 93.99,45,0,20,0,25,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,94.00 - 94.99,45,0,25,0,20,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,95.00 - 95.99,45,0,10,0,30,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,96.00 - 96.99,55,0,20,0,25,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,97.00 - 97.99,45,0,20,0,20,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,98.00 - 98.99,25,0,10,0,10,0
six half terms,201516,national,E92000001,England,State-funded primary,90+,99.00+,5540,0.1,1580,0,3720,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,Total,Total,2834785,100,2834785,100,2834785,100
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,0,230580,8.1,297665,10.5,1731295,61.1
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,0.01 - 0.99,300275,10.6,359980,12.7,410985,14.5
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,1.00 - 1.99,428585,15.1,502105,17.7,226120,8
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,2.00 - 2.99,355085,12.5,394790,13.9,125220,4.4
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,3.00 - 3.99,292810,10.3,308760,10.9,80065,2.8
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,4.00 - 4.99,212200,7.5,213370,7.5,49000,1.7
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,5.00 - 5.99,201275,7.1,190420,6.7,41830,1.5
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,6.00 - 6.99,157225,5.5,139855,4.9,28805,1
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,7.00 - 7.99,122735,4.3,102055,3.6,21140,0.7
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,8.00 - 8.99,95550,3.4,74195,2.6,15780,0.6
six half terms,201516,national,E92000001,England,State-funded secondary,0.00-9.99,9.00 - 9.99,68325,2.4,48905,1.7,11260,0.4
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,10.00 - 10.99,60720,2.1,41845,1.5,10940,0.4
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,11.00 - 11.99,45390,1.6,29520,1,8570,0.3
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,12.00 - 12.99,35690,1.3,22190,0.8,7230,0.3
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,13.00 - 13.99,27265,1,16075,0.6,5615,0.2
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,14.00 - 14.99,22310,0.8,12770,0.5,5100,0.2
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,15.00 - 15.99,19215,0.7,10700,0.4,4255,0.2
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,16.00 - 16.99,16210,0.6,8615,0.3,3795,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,17.00 - 17.99,13265,0.5,6730,0.2,3275,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,18.00 - 18.99,10975,0.4,5685,0.2,2735,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,10.00-19.99,19.00 - 19.99,8965,0.3,4445,0.2,2335,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,20.00 - 20.99,8760,0.3,4360,0.2,2380,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,21.00 - 21.99,7130,0.3,3525,0.1,2110,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,22.00 - 22.99,6345,0.2,2900,0.1,1900,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,23.00 - 23.99,5535,0.2,2575,0.1,1670,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,24.00 - 24.99,4540,0.2,2005,0.1,1380,0
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,25.00 - 25.99,5130,0.2,2345,0.1,1690,0.1
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,26.00 - 26.99,4160,0.1,1740,0.1,1345,0
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,27.00 - 27.99,3670,0.1,1620,0.1,1195,0
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,28.00 - 28.99,3460,0.1,1470,0.1,1160,0
six half terms,201516,national,E92000001,England,State-funded secondary,20.00-29.99,29.00 - 29.99,2935,0.1,1170,0,950,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,30.00 - 30.99,3050,0.1,1325,0,1075,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,31.00 - 31.99,2565,0.1,1060,0,850,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,32.00 - 32.99,2380,0.1,935,0,830,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,33.00 - 33.99,2360,0.1,1020,0,890,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,34.00 - 34.99,1930,0.1,820,0,730,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,35.00 - 35.99,2005,0.1,780,0,735,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,36.00 - 36.99,1755,0.1,680,0,650,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,37.00 - 37.99,1800,0.1,700,0,710,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,38.00 - 38.99,1615,0.1,605,0,670,0
six half terms,201516,national,E92000001,England,State-funded secondary,30.00-39.99,39.00 - 39.99,1420,0.1,535,0,520,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,40.00 - 40.99,1580,0.1,600,0,595,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,41.00 - 41.99,1455,0.1,530,0,515,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,42.00 - 42.99,1340,0,500,0,495,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,43.00 - 43.99,1170,0,390,0,455,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,44.00 - 44.99,1145,0,415,0,460,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,45.00 - 45.99,1090,0,365,0,420,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,46.00 - 46.99,1005,0,370,0,395,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,47.00 - 47.99,985,0,340,0,400,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,48.00 - 48.99,935,0,335,0,400,0
six half terms,201516,national,E92000001,England,State-funded secondary,40.00-49.99,49.00 - 49.99,720,0,235,0,275,0
six half terms,201516,national,E92000001,England,State-funded secondary,50.00-59.99,50.00 - 50.99,1390,0,540,0,605,0
six half terms,201516,national,E92000001,England,State-funded secondary,50.00-59.99,51.00 - 51.99,855,0,285,0,315,0
six half terms,201516,national,E92000001,England,State-funded secondary,50.00-59.99,52.00 - 52.99,880,0,255,0,335,0
six half terms,201516,national,E92000001,England,State-funded secondary,50.00-59.99,53.00 - 53.99,695,0,225,0,340,0
six half terms,201516,national,E92000001,England,State-funded secondary,50.00-59.99,54.00 - 54.99,645,0,200,0,275,0
six half terms,201516,national,E92000001,England,State-funded secondary,50.00-59.99,55.00 - 55.99,755,0,230,0,285,0
