time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Pupil Referral Unit,2,108,21383,4977,2948,2029,23.3,13.8,9.5,73,67.6,1217,124,8,18,0,108,.,59,1414,2948,71,173,1723,62,2029,4977
six half terms,201617,local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Pupil Referral Unit,1,247,56713,20441,13029,7412,36,23,13.1,197,79.8,3126,329,7,11,0,138,.,583,8835,13029,90,839,6327,156,7412,20441
six half terms,201617,local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Pupil Referral Unit,1,71,16731,7612,4702,2910,45.5,28.1,17.4,66,93,156,124,0,98,0,15,.,467,3842,4702,53,225,2632,0,2910,7612
six half terms,201617,local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Pupil Referral Unit,1,31,2868,1892,1417,475,66,49.4,16.6,29,93.5,161,19,0,0,0,6,.,73,1158,1417,0,2,449,24,475,1892
six half terms,201617,local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Pupil Referral Unit,2,142,25836,7459,5819,1640,28.9,22.5,6.3,80,56.3,1118,104,0,0,0,50,.,169,4378,5819,0,82,1548,10,1640,7459
six half terms,201617,local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Pupil Referral Unit,1,145,35042,22046,18709,3337,62.9,53.4,9.5,143,98.6,716,79,0,0,0,0,.,208,17706,18709,7,180,3148,2,3337,22046
six half terms,201617,local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Pupil Referral Unit,1,214,58511,14119,7238,6881,24.1,12.4,11.8,127,59.3,2157,244,39,20,247,99,.,354,4078,7238,44,74,6761,2,6881,14119
six half terms,201617,local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Pupil Referral Unit,2,98,17738,8503,7696,807,47.9,43.4,4.5,79,80.6,647,144,0,0,9,0,.,88,6716,7604,31,56,704,1,792,8396
six half terms,201617,local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Pupil Referral Unit,2,69,19383,4680,2614,2066,24.1,13.5,10.7,57,82.6,604,208,0,0,0,22,.,691,1089,2614,14,219,1817,16,2066,4680
six half terms,201617,local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Pupil Referral Unit,1,275,57657,24106,16186,7920,41.8,28.1,13.7,215,78.2,1255,202,12,1,0,31,.,1183,13502,16186,56,1738,6077,49,7920,24106
